Service,Primary keywords,Google SERP questions,Articles to write,Articles to write
Child Healthy eating,healthy eating,"Why is healthy eating important for child?
What is healthy eating for a child?
What are 3 suggestions to encourage children to eat healthy?
What are the 7 healthy eating habits?
How do you develop healthy eating habits for kids?",,
,diabetes diet,"What should a child with diabetes eat?
What kinds of food must be avoided by children with diabetes?
What should a child with type 2 diabetes eat?
Can childhood diabetes be controlled with diet?",,
,eat well plate,"What is the Eatwell plate for children?
Does the Eatwell guide apply to children?
Who is the Eatwell plate not suitable for?
What does the Eatwell plate tell us?
What is the Eatwell Guide and why is it important?
What are the food groups for kids?",,
,balanced diet,"What is a balanced diet for children?
Why balanced diet is important for a child?
How does healthy diet affect child development?
What happens if a child doesn't have a balanced diet?",,
,healthy diet,"What is healthy diet for children?
What is a healthy diet for a child NHS?
Why is a healthy diet important for children?
What is most important in a child's diet?
What are 5 main nutrients kids need?
What are 5 benefits of healthy eating for children?",,
,heart healthy foods,"How can I improve my child's heart health?
What are 5 heart-healthy foods?
What are the 10 most heart-healthy foods?
Is a heart-healthy diet important for children?",,
,healthy snacks for weight loss,"What are good snacks for overweight children?
What are 2 healthy snacks for children?
Which snacks is good for weight loss?
What is considered a healthy snack for kids?
What are 4 healthy snacks?
How many snacks should a child have a day?",,
Child Weight management,weight management,"What are 5 healthy weight management strategies?
How do you address weight problems with kids?
How do you deal with an overweight child?
What is the goal of weight management for children?
",,
,figur weight management,"What are the best weight management strategies for obese children?
What weight loss drug is approved for kids?
What are some strategies for weight control during childhood?
Is there a weight loss pill for children?",,
,weight management program,"What are some strategies for weight control during childhood?
What is a weight management program?
What is the childhood obesity prevention Programme?
What is the goal of weight management for children?",,
,weight loss counseling,"How do I approach my child to lose weight?
How do I talk to my child about weight loss?
What is the goal for weight loss in children?
Is weight loss recommended for children?",,
,weight management clinic,"What is the clinical treatment for childhood obesity?
What are the best weight management strategies for obese children?
What is prescribed for weight loss in children?
What is the goal of weight management for children?",,
,weight control,"What are some strategies for weight control during childhood?
How do I keep my child's weight down?
What are weight control behaviors?
What is example of weight control?",,
,private weight loss clinic,"Can a child old get weight loss surgery?
What is the best way for a kid to lose weight?
Is there weight loss medicine for children?
Can a child take weight loss pills?",,
Child Weight gain,weight gain,"When should I worry about my child's weight gain?
What diseases cause weight gain in children?
Why is my child daughter gaining weight?
Why is my child gaining so much weight?",,
,weight gain diet,"What is the fastest way for a kid to gain weight?
What foods help a child gain weight?
What causes slow weight gain in children?
How can I get my ADHD child to gain weight?",,
,weight gain foods,"What foods help a child gain weight?
How can I increase my child's weight?
What causes underweight child?
What vitamins are good for kids to gain weight?",,
,high calorie foods for weight gain,"What are high calorie foods for kids for weight gain?
What is the fastest way for a kid to gain weight?
What foods help kids gain weight?
How can I increase my child's calorie intake?",,
,sudden weight gain,"What can cause rapid weight gain in kids?
Why is my child suddenly gaining weight?
When should I worry about my child's weight gain?
What diseases cause weight gain in children?",,
,unexplained weight gain,"What causes sudden weight gain in children?
What medical conditions cause weight gain in children?
When should I worry about my child's weight gain?
How much unexplained weight gain is concerning?",,
Child Food allergies,gluten intolerance,"What are the first signs of being gluten intolerant?
Can kids develop a gluten intolerance?
What are three symptoms of gluten sensitivity?
What are the four most common symptoms in a child with celiac disease?",,
,food intolerance test,"How do you test for food intolerance in children?
Do food sensitivity tests work on kids?
At what age can you test for food intolerance?
What is the most common food intolerance in children?",,
,intolerance test,"How do I know if my child has an intolerance to something?
Are there food sensitivity tests for children?
At what age can you test for food intolerance?
What is the best method to determine if a child has a food intolerance?",,
,allergen test,"Can you test a child for food allergies?
How do I get my child tested for allergies UK?
Is allergy testing for kids painful?
When should kids be tested for food allergies?",,
,food allergies,"How do I know if my child has food allergies?
What are the top 5 food allergies in children?
What are the 11 most common foods children can be allergic to?
What are 3 signs and symptoms of a food allergy?",,
,food sensitivity test,"Do food sensitivity tests work on kids?
How do you test a child for food sensitivities?
Does my child have a food sensitivity?
What are the most common food sensitivities in children?",,
,food intolerance,"How do I know if my child has food intolerance?
What is the most common food intolerance in children?
What are the 3 most common food intolerances?
What are 3 signs of food sensitivity?",,
,gluten allergy,"How can you tell if your child has a gluten intolerance?
What are the first signs of being gluten intolerant?
Can kids develop a gluten intolerance?
What are three symptoms of gluten sensitivity?",,
,fpies,"What are the symptoms of FPIES in children?
Do children outgrow FPIES?
What foods are associated with FPIES?
What is the age of onset for FPIES?",,
,food allergy testing,"How are kids tested for food allergies?
Are there food sensitivity tests for children?
How do I get my child allergy tested?
How do NHS test for food allergies?",,
,tree nuts,"Can a child be allergic to tree nuts but not peanuts?
When can kids have tree nuts?
What are symptoms of tree nut allergy?
How do I know if my child is allergic to nuts?",,
,allergen,"What are the most common foods children can be allergic to?
What are the most common allergies?
How do I find out if my child has an allergy?
What are the symptoms of allergen?",,
Child Inflammatory Bowel Disease,inflammatory bowel disease,"What are the symptoms of inflammatory bowel disease in children?
What causes inflammatory bowel disease in a child?
What age does IBD start in children?
What is the treatment for IBD children?",,
,ulcerative colitis,"What are the symptoms of ulcerative colitis in children?
What is the life expectancy of a child with ulcerative colitis?
What causes ulcerative colitis in children?
Can a child have ulcerative colitis?",,
,ibd,"What are the symptoms of IBD in children?
What age does IBD start in children?
Which IBD is more common in children?
What causes inflammatory bowel disease in a child?",,
,bowel disease,"What are the symptoms bowel disease in kids?
What age does IBD start in children?
What causes inflammatory bowel disease in a child?
What is the rare bowel disease in children?",,
,ibd treatment,"Can kids grow out of IBD?
Is IBD common in children?
Why do children get IBD?",,
,inflammatory bowel disease treatment,"Can kids get inflammatory bowel disease?
What causes inflammation of the bowel in children?
What type of diet is recommended for a child with inflammatory bowel disease?",,
,inflamed intestines,"What causes inflamed intestines in kids?
Is an inflamed intestine serious?
What are the symptoms of inflammation in your intestines?
What causes intestines to get inflamed?",,
,colon inflammation,"What causes inflamed colon in children?
What are the symptoms of inflammatory bowel disease in children?
What are the symptoms of inflammation in the colon?
How serious is an inflamed colon?",,
,bowel inflammation,"What causes inflammation of the bowel in children?
How do I know if my child has inflammatory bowel disease?
What are the symptoms of an inflammatory bowel?
When should I suspect my child has IBD?",,
,ulcerative colitis cause,"Is ulcerative colitis common in children?
What are the possible causes of ulcerative colitis?
How rare is ulcerative colitis in kids?
Can children grow out of ulcerative colitis?",,
Child fussy eating,fussy eating,"When should I be concerned about my child's picky eating?
What is fussy eating in children?
Is picky eating ADHD or autism?
How do you fix picky eating in kids?",,
,picky eaters,"What causes picky eating in children?
What can you do for a picky eater child?
What is picky eating a symptom of?
When should I be concerned about my child's picky eating?",,
,food for picky eaters,"What can I feed my picky eater child?
What is the best food for picky eaters?
How do I get my picky child to eat better?
What are 3 tips for picky eaters?",,
,healthy food for picky eaters,"How do I get my picky child to eat healthy?
How do picky eaters eat healthy?
What are healthy lunches for picky eaters?",,
,food for extremely picky eaters,"What can I give my child who is a picky eater?
How do you help an extreme picky eater?
What are healthy foods for extremely picky eaters?
What foods do picky kids eat?",,
,healthy meals for fussy eaters,"What do you feed a fussy child for dinner?
How do I get my picky child to eat healthy?
How can an extremely picky eater eat healthy?
What are healthy lunches for picky eaters?",,
,picky food,"What causes picky eating in children?
How do you fix picky eating in kids?
What do you feed a picky child?
What is picky eating a symptom of?",,
,family meals for fussy eaters,"How do you feed a family of picky eaters?
What do you feed a fussy child?
How do you feed a child picky eater?",,
,nhs fussy eaters,"What makes children fussy eaters?
When should I be concerned about my child's picky eating?
What is the treatment for fussy eaters?
How do you help a child who is a picky eater?",,
Child Restrictive eating due to autism,arfid,"What does ARFID look like in children?
What are common signs of ARFID?
How do you treat a child with ARFID?
How is ARFID diagnosed in children?",,
,arfid eating disorder,"What does ARFID look like in children?
What do children with ARFID eat?
How is ARFID diagnosed in children?
Is ARFID common in children?",,
,avoidant restrictive food intake disorder,"What does ARFID look like in children?
What do children with ARFID eat?
What are avoidant restrictive food intake disorders in childhood most characterized by?
How is ARFID diagnosed in children?",,
,arfid meaning,"How is ARFID diagnosed in children?
What are the signs of ARFID?
How do you treat a child with ARFID?
Is ARFID a form of autism?",,
,arfid symptoms,"What does ARFID look like in children?
What are the warning signs of ARFID?
How is ARFID diagnosed in children?
What are the red flags of ARFID?",,
,arfid nhs,"How is ARFID diagnosed in children?
What are the symptoms of ARFID in a child UK?
What are the 5 types of ARFID?
Is ARFID common in children?",,
,restrictive eating,"What is restrictive eating childhood?
What are the warning signs of ARFID?
What causes restrictive eating?
What are the red flags of ARFID?",,
,arfid treatment,"How do you treat a child with ARFID?
What treatment is available for ARFID?
What is the average age for ARFID?
How do children develop ARFID?",,
,arfid disorder,"What does ARFID look like in children?
How is ARFID diagnosed in children?
What are common signs of ARFID?
How do you treat a child with ARFID?",,
,restrictive eating disorder,"What does ARFID look like in children?
What are the warning signs of ARFID?
What are disordered eating behaviors in children?
What are the red flags of ARFID?",,
,arfid diagnosis,"How is ARFID diagnosed in children?
What age is ARFID diagnosed?
What are the warning signs of ARFID?
What are the red flags of ARFID?",,
,restrictive food intake disorder,"What does ARFID look like in children?
What are the warning signs of ARFID?
What are the red flags of ARFID?
How do you treat a child with ARFID?",,
Child Feeding difficulties,feeding difficulties,"
What causes feeding problems in children?
What are some feeding difficulties?
What are feeding disorders and feeding difficulties?",,
,feeding disorder,"What is a feeding disorder in children?
What are some feeding disorders?
What causes feeding problems in children?
How common are pediatric feeding disorders?",,
,cerebral palsy eating difficulties,"How does cerebral palsy affect eating?
What are the feeding difficulties in children with CP?
Do people with cerebral palsy have trouble eating?
Does cerebral palsy affect appetite?",,
,types of pediatric feeding disorders,"What are the three main categories of pediatric feeding disorders?
What are pediatric feeding disorders?
Which are the top three pediatric disorders with a higher incidence of feeding difficulties?
What causes pediatric feeding disorders?",,
Child Tube feeding,peg tube,"Why would a child need a PEG tube?
How long can a child have a feeding tube?
How do they insert a PEG tube in a child?
Is PEG tube a major surgery?",,
,tube feeding,"How long can a child have a feeding tube?
Why would a child have a feeding tube?
How do you care for a child with a feeding tube?
What is the most common problem in tube feeding?",,
,ng tube,"Why would a child need an NG tube?
How long can a child have an NG tube?
How is NG tube feeding done in children?
Where is the NG tube placed in a child?",,
,enteral feeding,"Why would a child need enteral feeding?
What is pediatric enteral feeding?
Who decides when a child requires enteral feeding?
When would a child need a feeding tube?",,
,gastrostomy tube,"Why might a child need a gastrostomy?
What is a gastrostomy feeding procedure for a child?
Where is G tube placed in kids?
What age can you get a gastrostomy tube?",,
,jejunostomy,"How long can you have a jejunostomy tube?
Why would someone need a jejunostomy?
Why would a child need a feeding tube?
What is the difference between a PEG and a jej?",,
,peg feeding,"What is the age limit for a PEG tube?
Do children get PEG tubes?
How long can a PEG feeding tube stay in?
What conditions require PEG feeding?",,
,ngt feeding,"How is NG tube feeding done in children?
Why would a child need a nasogastric tube feeding?
How do you feed a child with a feeding tube?
How do you insert a NG tube in a child?",,
Child Constipation,constipation,"What can you give a child for constipation?
What are the red flags for constipation in children?
How do you know if your child has an impacted bowel?
What is fast acting for constipation for kids?",,
,laxative,"What is the best laxative for a child?
What laxatives are good for children's constipation?
What are fast laxatives for children?
What can I give my child for constipation?",,
,constipation relief,"What helps constipation in children fast?
What is the quickest relief for constipation?
How do you clear impacted stool in a child?
What laxatives are good for children's constipation?",,
,natural laxatives,"What is a natural home laxative for kids?
What can I give my child for a bowel movement?
What is the quickest laxative for kids?
How do you Unconstipate a child fast?",,
,immediate constipation relief,"How do you Unconstipate a child fast?
How can I soften my kids poop fast?
What is a fast acting laxative for children?
What relieves constipation instantly?",,
,cause of constipation,"What is the common cause of constipation in children?
How do you treat constipation in children?
What is the main cause of constipation?
What are the 4 types of constipation?",,
,stool softener,"What's a good stool softener for children?
What can I give my 3 year old as a stool softener?
How do you pass hard stool in a child?
What is a good stool softener for a 4 year old?",,
,constipation remedies,"
What helps constipation in children fast?
What is the quickest remedy for constipation?
How do I know if my child has an impacted bowel?
How long can a child go without pooping?",,
,home remedies for constipation,"What helps constipation in children fast?
What is a natural home laxative for kids?
What is a fast home remedy for constipation?
How can I soften my child's stool?",,
,chronic constipation,"Why is my child chronically constipated?
How do you treat chronic constipation in children?
What are the effects of long-term constipation in children?
Can chronic constipation be serious?",,
Child Reflux,reflux,"What are the symptoms of reflux in children?
How do you treat childhood reflux?
Can a 7 year old have acid reflux?
What triggers reflux in kids?",,
,acid reflux,"How do you know if your child has acid reflux?
How do you treat acid reflux in children?
Can a 7 year old have acid reflux?
What triggers acid reflux in kids?",,
,gerd,"What are the symptoms of GERD in children?
How is GERD treated in children?
Is it common for kids to have GERD?
Can a 7 year old have GERD?",,
,heartburn,"Is it normal for a child to get heartburn?
What to do when a child has heartburn?
What foods cause heartburn in children?
Can 8 year old get indigestion?",,
,acid reflux symptoms,"How do I know if my child has acid reflux?
What triggers acid reflux in kids?
How do I know if my 7 year old has acid reflux?
At what age do children get acid reflux?",,
,heartburn symptoms,"What are symptoms of heartburn in kids?
Is it normal for kids to have heartburn?
How do you treat heartburn in children?
Can a 7 year old have acid reflux?",,
,heartburn relief,"What can I give a child for heartburn?
What can kids take for heartburn UK?
Is it normal for a 7 year old to have heartburn?",,
,stomach acid,"How do you treat stomach acid in children?
Is it normal for a 7 year old to have acid reflux?
What causes stomach acid in children?
What are the symptoms of acidity in kids?",,
,heartburn causes,"What causes heartburn in kids?
What to do when a child has heartburn?
What can a 7 year old take for acid reflux?
What foods cause heartburn in children?",,
,acid reflux causes,"Is it normal for a child to have acid reflux?
When should I be concerned about my child's acid reflux?
Why does my 9 year old have reflux?
Why does my 10 year old get heartburn?
",,
Child Food intolerance,food intollerance testing,"What is the most common food intolerance in children?
When should kids be tested for food allergies?
What age is the York test for?
How do doctors test for food intolerance?",,
,food intollerance,"What is the most common food intolerance in children?
What are the top 3 food intolerances?
What are 3 signs of food sensitivity?
What is food intolerance for kids?",,
,dairy intollerance,"What are the first signs of being dairy intolerant?
What age does dairy intolerance start?
Can a child suddenly become lactose intolerant?
Can dairy cause stomach pain in kids?",,
,egg intollerance,"What are the symptoms of egg intolerance?
What does an egg allergy look like in kids?
What are 2 symptoms associated with an egg allergy?
What are the symptoms of a delayed egg intolerance?",,
,milk intollerance,"What symptoms does milk intolerance cause?
What are the first signs of being dairy intolerant?
What are the 4 types of lactose intolerance?
How do you test for lactose intolerance in children?",,
,yeast intollerance,"What are the signs of yeast intolerance?
What are the symptoms of a yeast intolerance NHS?
What foods cause yeast intolerance?
Is a yeast intolerance the same as gluten?",,
,food intollerance symptoms,"How do I know if my child has food intolerance?
What is the most common food intolerance in children?
What are 3 common food sensitivity symptoms?
How do you test a child for intolerance?",,
,dairy intollerance symptoms,"What are the first signs of being dairy intolerant?
What age does dairy intolerance start?
How do you test for lactose intolerance in children?
Can a child suddenly become lactose intolerant?",,
,sugar intollerance,"Can children have an intolerance to sugar?
What are the symptoms of a sugar intolerance?
What are the symptoms of glucose intolerance in children?
How do you diagnose sugar intolerance?",,
,soy intollerance,"What are the symptoms of soy allergy in kids?
What are the signs of soy intolerance?
What are the symptoms of soy intolerance NHS?
Why can't kids have soy?",,
,garlic intollerance,"What are the symptoms of garlic intolerance?
Can garlic cause stomach issues?
Can you have a food sensitivity to garlic?
Is there a test for garlic intolerance?",,
,rice intollerance,"What are the symptoms of rice intolerance?
Can you have an intolerance to rice?
Can kids be allergic to rice?
Can your stomach be sensitive to rice?",,
,meat intollerance,"What are the symptoms of meat intolerance?
Can kids get alpha-gal syndrome?
How common is meat intolerance?
How do you develop a meat intolerance?
",,
,tomato intollerance,"What are the symptoms of tomato intolerance?
Can you have an intolerance to tomatoes?
Why do tomatoes upset my stomach?
Why is my toddler's face red after eating tomatoes?",,
,bread intollerance,"What are the symptoms of intolerance to bread?
Is my child allergic to bread?
How do you test for wheat intolerance in children?
Can 4 year old have gluten intolerance?
",,
,corn intollerance,"What are the symptoms of corn intolerance?
Can a child be allergic to corn?
Is there a corn intolerance?
What is corn hypersensitivity?
",,
,soya intollerance,"What are the symptoms of soy allergy in kids?
What are the signs of soy intolerance?
What are the symptoms of soy intolerance NHS?
Why can't kids have soy?",,